172.21.0.13 - - [10/Jan/2022:19:17:33 +0000] "POST /api/authentication/login HTTP/1.1" 200 - "http://sonarqube.local/sessions/new?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5Fa5QUJlmweWWYAAAJ"
172.21.0.13 - - [10/Jan/2022:19:17:34 +0000] "GET / HTTP/1.1" 302 - "http://sonarqube.local/sessions/new?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5Fa5QUJlmweWWYAAAK"
172.21.0.13 - - [10/Jan/2022:19:17:34 +0000] "GET /account/reset_password HTTP/1.1" 200 - "http://sonarqube.local/sessions/new?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5Fa5QUJlmweWWYAAAL"
172.21.0.13 - - [10/Jan/2022:19:17:34 +0000] "GET /api/l10n/index?locale=en-GB&ts=2022-01-10T19%3A16%3A28%2B0000 HTTP/1.1" 304 - "http://sonarqube.local/account/reset_password" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5Fa5QUJlmweWWYAAAM"
172.21.0.13 - - [10/Jan/2022:19:17:34 +0000] "GET /api/users/current HTTP/1.1" 200 354 "http://sonarqube.local/account/reset_password" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5Fa5QUJlmweWWYAAAN"
172.21.0.13 - - [10/Jan/2022:19:17:34 +0000] "GET /api/navigation/global HTTP/1.1" 200 573 "http://sonarqube.local/account/reset_password" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5Fa5QUJlmweWWYAAAO"
172.21.0.13 - - [10/Jan/2022:19:17:34 +0000] "GET /api/languages/list HTTP/1.1" 200 479 "http://sonarqube.local/account/reset_password" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5Fa5QUJlmweWWYAAAP"
172.21.0.13 - - [10/Jan/2022:19:17:40 +0000] "POST /api/users/change_password HTTP/1.1" 204 - "http://sonarqube.local/account/reset_password" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5Fa5QUJlmweWWYAAAQ"
172.21.0.13 - - [10/Jan/2022:19:17:40 +0000] "GET / HTTP/1.1" 200 - "http://sonarqube.local/account/reset_password" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5Fa5QUJlmweWWYAAAR"
172.21.0.13 - - [10/Jan/2022:19:17:40 +0000] "GET /api/l10n/index?locale=en-GB&ts=2022-01-10T19%3A17%3A34%2B0000 HTTP/1.1" 304 - "http://sonarqube.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5Fa5QUJlmweWWYAAAS"
172.21.0.13 - - [10/Jan/2022:19:17:40 +0000] "GET /api/users/current HTTP/1.1" 200 354 "http://sonarqube.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5Fa5QUJlmweWWYAAAU"
172.21.0.13 - - [10/Jan/2022:19:17:40 +0000] "GET /api/navigation/global HTTP/1.1" 200 574 "http://sonarqube.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5Fa5QUJlmweWWYAAAT"
172.21.0.13 - - [10/Jan/2022:19:17:40 +0000] "GET /api/languages/list HTTP/1.1" 200 479 "http://sonarqube.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5Fa5QUJlmweWWYAAAV"
172.21.0.13 - - [10/Jan/2022:19:17:40 +0000] "GET /images/logo.svg?v=6.6 HTTP/1.1" 304 - "http://sonarqube.local/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5Fa5QUJlmweWWYAAAX"
